sample_id,row,recall,X,X_pred,rul
1,1,0.9996810460956942,0.0003189539043058,0.0,15.0048
1,2,0.9720549156028272,0.0279450843971728,0.0312153814104069,13.27175
1,3,0.9586282449705306,0.0413717550294694,0.0440985001716899,12.584125
1,4,0.955382621888742,0.0446173781112581,0.0552386094691302,12.68555
1,5,0.9440877073292736,0.0559122926707265,0.0642627207585699,12.020575
1,6,0.9378866764245776,0.0621133235754225,0.072869695392686,11.9406
1,7,0.9273301825937632,0.0726698174062367,0.0803910949611329,11.35805
1,8,0.9138485005858424,0.0861514994141575,0.0878194785642681,10.440725
1,9,0.9128842824411874,0.0871157175588126,0.0954950918089333,10.66845
1,10,0.9091928738113602,0.0908071261886398,0.1012286508864851,10.659525
1,11,0.9037997311213856,0.0962002688786144,0.1063987554201621,10.380475
1,12,0.8984703568851318,0.1015296431148682,0.1114710313638631,10.1897
1,13,0.89069248014902,0.1093075198509799,0.1163849614777128,9.644275
1,14,0.89069248014902,0.1093075198509799,0.1215832096175713,9.9709
1,15,0.8887652093438544,0.1112347906561456,0.1254333516088465,9.8867
1,16,0.8800273937135561,0.1199726062864439,0.1289193595364586,9.267375
1,17,0.8748679378654151,0.1251320621345849,0.1334542798349106,9.0171
1,18,0.8669523899625781,0.1330476100374219,0.1377804327214924,8.416025
1,19,0.8669523899625781,0.1330476100374219,0.1425124153308489,8.530425
1,20,0.8662236557218046,0.1337763442781954,0.1458595499235804,8.628525
1,21,0.8592052497863122,0.1407947502136878,0.1486071537931699,8.15115
1,22,0.8582851960177478,0.1417148039822522,0.1522833504360729,8.257475
1,23,0.854234282061792,0.145765717938208,0.1551714159034463,7.939225
1,24,0.847557943264278,0.1524420567357219,0.1582650253300707,7.3885
1,25,0.847557943264278,0.1524420567357219,0.1619975864582692,7.52175
1,26,0.8445163156932621,0.1554836843067378,0.164653052892943,7.29385
1,27,0.8445163156932621,0.1554836843067378,0.1673516227867487,7.417075
1,28,0.8445163156932621,0.1554836843067378,0.16940268785106,7.532775
1,29,0.8372626366296284,0.1627373633703716,0.1710744139482917,6.8273
1,30,0.8372626366296284,0.1627373633703716,0.1740955533622903,6.944075
1,31,0.8372626366296284,0.1627373633703716,0.1762699926611789,7.09785
1,32,0.8352243425451656,0.1647756574548343,0.1779527612016541,7.022675
1,33,0.832215167081768,0.1677848329182319,0.1797940961057256,6.764725
1,34,0.8213624572446724,0.1786375427553276,0.1819303458239397,5.501825
1,35,0.8202104187494627,0.1797895812505373,0.1859994581129391,5.4184
1,36,0.8202104187494627,0.1797895812505373,0.188986640592612,5.6175
1,37,0.8202104187494627,0.1797895812505373,0.1910795008377132,5.701575
1,38,0.8202104187494627,0.1797895812505373,0.1926419585197053,5.72815
1,39,0.8202104187494627,0.1797895812505373,0.1938822606094948,5.825925
1,40,0.8176710342477612,0.1823289657522387,0.1949206093303521,5.6188
1,41,0.8090146270064928,0.1909853729935071,0.1964227462262731,4.592675
1,42,0.8090146270064928,0.1909853729935071,0.1996370303038408,4.583825
1,43,0.8090146270064928,0.1909853729935071,0.2018275731962727,4.675875
1,44,0.8090146270064928,0.1909853729935071,0.2033991304169655,4.75435
1,45,0.8085547081455277,0.1914452918544723,0.2045905981379585,4.78325
1,46,0.8085547081455277,0.1914452918544723,0.2056548383614911,4.843
1,47,0.8066509913766503,0.1933490086233497,0.2065224586887765,4.638725
1,48,0.8033119983609,0.1966880016391,0.2077260815654513,4.209475
1,49,0.8033119983609,0.1966880016391,0.2094826492403888,4.230525
1,50,0.7981053521767135,0.2018946478232864,0.2107550930599495,3.571575
1,51,0.7981053521767135,0.2018946478232864,0.21301351752651,3.5546
1,52,0.7981053521767135,0.2018946478232864,0.2145888038365729,3.63735
1,53,0.7981053521767135,0.2018946478232864,0.2157358100820255,3.66815
1,54,0.7969311421917876,0.2030688578082123,0.2166108428892346,3.567825
1,55,0.7907066860248498,0.2092933139751501,0.2176071483372219,2.69165
1,56,0.7905455685521329,0.2094544314478671,0.2199592053159617,2.68
1,57,0.7905455685521329,0.2094544314478671,0.2216216497008637,2.7423
1,58,0.7824380683582026,0.2175619316417973,0.2228051046251957,1.75045
1,59,0.7824380683582026,0.2175619316417973,0.2257721915622013,1.76695
1,60,0.7824380683582026,0.2175619316417973,0.227780782169125,1.765275
1,61,0.7824380683582026,0.2175619316417973,0.2291778883670101,1.7254
1,62,0.7824380683582026,0.2175619316417973,0.2301819503346985,1.80595
1,63,0.7824380683582026,0.2175619316417973,0.2309309559672557,1.823075
1,64,0.7760942569141606,0.2239057430858394,0.2315123913262642,0.0
1,65,0.7751311987112107,0.2248688012887892,0.2336641885950532,0.0
1,66,0.7745188980019476,0.2254811019980523,0.2354021119226367,0.0
1,67,0.7727348960501632,0.2272651039498368,0.236778288193206,0.0
1,68,0.7710157712725714,0.2289842287274286,0.2382336089916013,0.0
1,69,0.7710157712725714,0.2289842287274286,0.2397231133351123,0.0
1,70,0.7710157712725714,0.2289842287274286,0.2407690751017611,0.0
1,71,0.7710157712725714,0.2289842287274286,0.2415231960327252,0.0
1,72,0.7679754900742092,0.2320245099257908,0.2420836577973159,0.0
1,73,0.7679754900742092,0.2320245099257908,0.2433493847871639,0.0
1,74,0.7679754900742092,0.2320245099257908,0.2442416068404158,0.0
1,75,0.7679754900742092,0.2320245099257908,0.2448857185939821,0.0
1,76,0.7679754900742092,0.2320245099257908,0.2453636451167127,0.0
1,77,0.7674163829443139,0.2325836170556861,0.2457290634288376,0.0
1,78,0.7674163829443139,0.2325836170556861,0.2461740997501602,0.0
1,79,0.7631269265905617,0.2368730734094383,0.2465126671469613,0.0
1,80,0.7631269265905617,0.2368730734094383,0.2479911289208284,0.0
1,81,0.7631269265905617,0.2368730734094383,0.2490151416002299,0.0
1,82,0.7609844401589294,0.2390155598410706,0.2497343454227777,0.0
1,83,0.7563290061320225,0.2436709938679775,0.2508612527905066,0.0
1,84,0.7520759357356727,0.2479240642643273,0.2529848966819978,0.0
2,1,1.0,0.0,0.0,15.046725
2,2,0.993046823651579,0.0069531763484209,0.0312153814104069,14.899525
2,3,0.983553764194567,0.016446235805433,0.0429938855220087,14.518725
2,4,0.9648149587132626,0.0351850412867373,0.0532196014286025,13.533775
2,5,0.9585464595464273,0.0414535404535728,0.0632550036469637,13.320425
2,6,0.9535784256753532,0.0464215743246466,0.0716130330335838,13.205775
2,7,0.9467843838372326,0.0532156161627673,0.0788198907440733,12.961025
2,8,0.9418009648110418,0.0581990351889581,0.0855363922801117,12.85295
